Release Year,Song,Artist,Album,Genre,Duration,Writer,Composer,Producer,Award
1990,Pasko Na Naman,Gary Valenciano,Pagkatao,Pop Christmas,4:28,Gary Valenciano,Gary Valenciano,Quincy Jones III,
1990,Pangako Sa 'Yo,Sharon Cuneta,Gets Mo Ko!,Ballad,4:32,George Canseco,George Canseco,Vic del Rosario Jr.,Awit Best Ballad
1990,Anak,Freddie Aguilar,The Best of Freddie Aguilar,Folk Rock,4:55,Freddie Aguilar,Freddie Aguilar,Freddie Aguilar,
1990,Maging Sino Ka Man,Ric Segreto,Maging Sino Ka Man,Pop Ballad,4:48,Freddie Saturno,Freddie Saturno,Vic del Rosario Jr.,Awit Best Pop
1990,Hindi Mo Amin Nakita,Joey Albert,Joey Albert,Ballad,4:15,George Canseco,George Canseco,Louie Ocampo,
1990,Kailangan Kita,Martin Nievera,Martin 1-2-3,Pop,4:22,George Canseco,George Canseco,Louie Ocampo,Star Best Male Performer
1990,Sana'y Wala Nang Wakas,Rey Valera,Sana'y Wala Nang Wakas,Ballad,5:01,Rey Valera,Rey Valera,Rey Valera,Awit Best Composer
1990,Walang Kapalit,Zsa Zsa Padilla,Walang Kapalit,Ballad,4:55,George Canseco,George Canseco,Louie Ocampo,Awit Best Female
1990,Nagmamahal Sa 'Yo,Gary Valenciano,Pagkatao,Pop Ballad,4:40,Gary Valenciano,Gary Valenciano,Mon Faustino,Awit Best Recording
1990,Sa Dulo Ng Walang Hanggan,Francis Magalona,Sa Dulo Ng Walang Hanggan,Pop Rap,4:28,Francis Magalona,Francis Magalona,Francis Magalona,
1990,Dahil Mahal Na Mahal Kita,Rodel Naval,Dahil Mahal Na Mahal Kita,Ballad,4:35,Rodel Naval,Rodel Naval,Vic del Rosario Jr.,
1990,Ikaw Pa Rin,Pops Fernandez,Ikaw Pa Rin,Pop,4:12,Pops Fernandez,Pops Fernandez,Louie Ocampo,Star Best Duet (w/Martin)
1990,Di Bale Na Lang,Raymond Lauchengco,Di Bale Na Lang,Pop,4:18,Raymond Lauchengco,Raymond Lauchengco,Ryan Cayabyab,
1990,Lumapit Dahan-Dahan,Hajji Alejandro,Lumapit Dahan-Dahan,Ballad,4:50,Hajji Alejandro,Hajji Alejandro,Vic del Rosario Jr.,
1990,Di Ko Kaya,Rachel Alejandro,Di Ko Kaya,Pop Ballad,4:42,Vehnee Saturno,Vehnee Saturno,Vic del Rosario Jr.,Awit Best New Artist
1990,Paano Na,Jackielou Blanco,Paano Na,Pop Ballad,4:30,George Canseco,George Canseco,Vic del Rosario Jr.,
1990,Patawarin Mo,Vanessa Bell,Single,Ballad,4:25,George Canseco,George Canseco,Vehnee Saturno,
1990,Di Na Muli,Imelda Papin,Di Na Muli,Ballad,5:10,Imelda Papin,Imelda Papin,Imelda Papin,
1990,Pag-ibig Na Walang Hanggan,Rudy Fernandez,Single,Pop Ballad,4:38,George Canseco,George Canseco,Rudy Fernandez,
1990,Mahal Pa Rin Kita,Roselle Nava,Single,Ballad,4:45,Roselle Neri,Roselle Nava,Louie Ocampo,
1990,Di Ka Sayang,Janno Gibbs,Single,Pop,4:20,Janno Gibbs,Janno Gibbs,Ryan Cayabyab,
1990,Pangako,Ariel Rivera,Single,Ballad,4:28,Ariel Rivera,Ariel Rivera,Louie Ocampo,Star Best New Male Artist
1990,Di Makalimutan,Eva Eugenio,Single,Ballad,4:35,Eva Eugenio,Eva Eugenio,Willy Cruz,
1990,Sa Ilalim ng Bituin,Bituin Escalante,Single,Pop,4:15,Bituin Escalante,Bituin Escalante,Jonathan Manalo,
1990,Di Na Babalik,Marion Sambutan,Single,Pop,4:10,Marion Sambutan,Marion Sambutan,Marion Aunor,
1990,Mahal Kita,Rico J. Puno,Single,Pop,3:55,Rico J. Puno,Rico J. Puno,Rico J. Puno,
1990,Di Ko Na Sasabihin,Claire dela Fuente,Single,Ballad,4:40,Claire dela Fuente,Claire dela Fuente,Willy Cruz,
1990,Pangarap,Noel Cabangon,Single,Folk Pop,4:50,Noel Cabangon,Noel Cabangon,Noel Cabangon,
1990,Walang Hanggang Pag-ibig,Dingdong Avanzado,Single,Ballad,4:32,Dingdong Avanzado,Dingdong Avanzado,Dingdong Avanzado,
1990,Kailan Ko Ba Sasabihin,Jerome John,Single,Ballad,4:18,Jerome John,Jerome John,Vehnee Saturno,
